364780	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
2025156	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
552687	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
876519	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
583294	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
345333	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
654742	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
4383015	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Alphaproteobacteria'					0
152581	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
513798	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
940737	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
6602	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
226718	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
216643	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
571363	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
399818	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
937372	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
1048878	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
100640	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
818282	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Betaproteobacteria'					0
620224	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Deltaproteobacteria'					0
279206	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Deltaproteobacteria'					0
1052235	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Deltaproteobacteria'					0
1044436	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Deltaproteobacteria'					0
590356	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Deltaproteobacteria'					0
501684	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Deltaproteobacteria'					0
539866	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
761601	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
974121	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
581900	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
339660	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
945478	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
365415	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
1110303	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
816441	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
727692	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
961783	[u'k__Bacteria'	 u'p__Proteobacteria'	 u'c__Gammaproteobacteria'					0
578508	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Spartobacteria]'		7.8			139.0374332
1093690	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Pedosphaerae]'		3.2			57.04099822
592129	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__Opitutae'		0.6			10.69518717
1109142	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__Verrucomicrobiae'		0.5			8.912655971
533650	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Pedosphaerae]'					0
915631	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Pedosphaerae]'					0
570407	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Pedosphaerae]'					0
4369011	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Pedosphaerae]'					0
31253	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Pedosphaerae]'					0
209870	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Spartobacteria]'					0
586224	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Spartobacteria]'					0
512563	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Spartobacteria]'					0
1107011	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Spartobacteria]'					0
511873	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Spartobacteria]'					0
1107128	[u'k__Bacteria'	 u'p__Verrucomicrobia'	 u'c__[Spartobacteria]'					0
# Core OTUs across 100 % of samples.								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
